,College_Name,State,City,URL_,Address,Phone_Number
39,Government College of Engineering and Leather Technology - GCELT - Courses,West Bengal,Kolkata,http://www.gcelt.gov.in/,"LB-Block, Sector 3, Saltlake City, Kolkata, West Bengal 700098, India",['(033) 23356977']
40,Government College of Engineering and Textile Technology - Courses,West Bengal,Kolkata,http://www.gcetts.org,"12, William Carey Road, Serampore, Kolkata, West Bengal 712201, India","['(033) 26621058, 26623156']"
41,Guru Nanak Institute of Technology - GNIT - Courses,West Bengal,Kolkata,http://www.gnit.ac.in/,"157/F, Nilgunj Road, Panihati, Kolkata, West Bengal 700114, India","['(033) 25233900 / ', ' 9432012681']"
42,Gurunanak Institute of Technology - Courses,West Bengal,Kolkata,http://www.gnit.ac.in,"157/F Nilgunj Road, Panihati, Kolkata, West Bengal 700114, India",['(033) 25233900']
43,Heritage Institute of Technology - Courses,West Bengal,Kolkata,http://www.heritageit.edu,"Chowbaga Road, Anandapur, East Kolkata Township, Kolkata, West Bengal 700107, India","['(033) 66270600, 66270609, 66270614, 66270622']"
44,IBRAD School of Management and Sustainable Development - Courses,West Bengal,Kolkata,http://www.ibradindia.org/,"Prafulla Kanan, Kestopur (JL-17), VIP Road, Kolkata, West Bengal 700101, India","['(033) 27116330, 66210320, 66210310 / ', ' 9903873762, 9836363701']"
45,IKON Teachers Training Institute - Courses,West Bengal,Kolkata,http://www.ikon-ites.com/,"6, Beadon Row, Kolkata, West Bengal 700006, India","['(033) 25551190, 25552496 / ', ' 9163107204']"
46,Indian Institute of Information Management and Business Studies - Courses,West Bengal,Kolkata,,"62, Sri Arabinda Sarani, Kolkata, West Bengal 700005, India","['(033) 25338759, 25338785']"
47,Indian Institute of Software Technology - Courses,West Bengal,Kolkata,https://targetstudy.com/university/15477/sikkim-manipal-university/,"BF- 32, Salt Lake City, Sector 1, Kolkata, West Bengal 700017, India","['(033) 23376365, 23587315, 40077647']"
48,Indian Statistical Institute - ISI Kolkata,Universities in West Bengal,Universities in West Bengal,https://www.isical.ac.in/,"Headquarters:- #203, Barrackpore Trunk Road, Kolkata, West Bengal 700108, India",['(033) 25752001']
49,Institute of Business Management and Research - IBMR - Courses,West Bengal,Kolkata,https://targetstudy.com/university/372/west-bengal-university-of-technology/,"#6/1, Swinhoe Street, Kolkata, West Bengal 700019, India",['(033) 24406755']
50,Institute of Engineering and Management - IEM - Courses,West Bengal,Kolkata,http://www.iemcal.com,"120, S.D.F. Building, Saltlake Electronics Complex, Kolkata, West Bengal 700091, India","['(033) 23578189, 23572995 / ', ' 9674323320']"
51,Institute of Genetic Engineering - Courses,West Bengal,Kolkata,https://targetstudy.com/university/372/west-bengal-university-of-technology/,"30, Thakurhat Road, Badu, Madhyamgram, Kolkata, West Bengal 700128, India","['(033) 25260051, 25260052, 25260053 / ', ' 9732708548, 9831117775, 9831095960']"
52,Institute of Hotel and Restaurant Management - IHRM - Courses,West Bengal,Kolkata,https://targetstudy.com/university/372/west-bengal-university-of-technology/,"Sonargaon Park, Tegharia, Sonarpur, Kolkata, West Bengal 700150, India","['(033) 24346885, 24347138 / ', ' 9830529846, 9830566266']"
53,Institute of Management Study - Courses,West Bengal,Kolkata,http://www.imscal.org/,"E.M. Bypass, 93, Mukundapur Main Road, (Near Devi Shetty Hospital) 
, Kolkata, West Bengal 700099, India","['(033) 24264168, 28371749 / ', ' 7003196293, 9831637683, 8910688040']"
54,Institute of Professional Studies and Research - Courses,West Bengal,Kolkata,,"Shakespear Sarani, Unit No. 401(A), 4th Floor, Chandan Niketan Building (Near Kalamandir), Kolkata, West Bengal 700017, India",['(033) 30604672']
55,Institute of Radio Physics and Electronics - IRPE - Courses,West Bengal,Kolkata,https://www.irpel.in/,"University of Calcutta 92, Acharya Prafulla Chandra Road, Kolkata, West Bengal 700009, India","['(033) 23559115, 23559116']"
56,Jadavpur University,Universities in West Bengal,Universities in West Bengal,http://www.jaduniv.edu.in/,"Main Campus:- 188, Raja S.C. Mallick Road, Kolkata, West Bengal 700032, India","['(033) 24146666, 24572227']"
57,Jayasree Academy - Courses,West Bengal,Kolkata,,"14, Ishan Mondal Garden Road
, Kolkata, West Bengal 700038, India",[' 8697151812']
58,JIS University,Universities in West Bengal,Universities in West Bengal,http://jisuniversity.ac.in/,"81, Nilgunj Road, Agarpara, Kolkata, West Bengal 700109, India","['(033) 25636677 / ', ' 8697743361, 8697743362, 9330906163']"
59,Jyotirmoy School of Management and Sciences - Courses,West Bengal,Kolkata,https://targetstudy.com/university/372/west-bengal-university-of-technology/,"63/1/2-A, Sarat Bose Road, Kolkata, West Bengal 700025, India","['(033) 24748282, 24852229']"
60,Maulana Abul Kalam Azad University of Technology,Universities in West Bengal,Universities in West Bengal,,"BF 142, Sector 1, Salt Lake City, Kolkata, West Bengal 700064, India","['(033) 23210731, 23211327']"
61,Mayfair Business School - Courses,West Bengal,Kolkata,,"Mayfair Tower, 194 Hossenpur, Chowbaga Road, EM Byepass, Kalikapur, Kolkata, West Bengal 700107, India",[' 9564733330']
62,Meghnad Shah Institute of Technology - Courses,West Bengal,Kolkata,http://www.msitcollege.org,"Techno Complex, Madurdahabe Side, NRI Complex, Behind Rubi Hospital Uchhapota, Kolkata, West Bengal 700150, India","['(033) 24431032, 30943462 / ', ' 9836544416, 9836544417, 9836544418, 9836544419']"
63,Narula Institute of Technology - NIT - Courses,West Bengal,Kolkata,http://www.nit.ac.in,"81, Nilgunj Road, Agarpara, Kolkata, West Bengal 700109, India","['(033) 25638888, 25637777, 25837029 / ', ' 8100192400, 8902496651, 6291977702']"
64,National Institute of Technical Teachers Training and Research - NITTTR - Courses,West Bengal,Kolkata,http://www.nitttrkol.ac.in,"Block FC, Sector III, Salt Lake City, Kolkata, West Bengal 700106, India","['(033) 23587442, 66251901']"
65,Netaji Subhas Open University,Universities in West Bengal,Universities in West Bengal,http://www.wbnsou.ac.in,"DD-26, Sector I, Salt Lake City, Kolkata, West Bengal 700064, India",['(033) 40663220']
66,Netaji Subhash Engineering College - NSEC - Courses,West Bengal,Kolkata,http://www.nsecollege.org/,"Techno City, Panchpotha Garia, Kolkata, West Bengal 743516, India","['(033) 24363333, 24361285 / ', ' 9836544416, 9836544417, 9836544419']"
67,Nexgen School of Management and Technology - NSMT - Courses,West Bengal,Kolkata,,"91/A/61, B.L. Saha Road, Near Tollygange, Metro, Kolkata, West Bengal 700053, India","['(033) 24032118, 22827062 / ', ' 9831899888']"
68,NIMS School of Hotel Management - Nightingale Institute of Management Studies - Courses,West Bengal,Kolkata,https://nimseducation.com/,"CF-78, Salt Lake City, Sector 1, Kolkata, West Bengal 700064, India","['(033) 23210466, 23218612, 40041077 / ', ' 9230459363']"
69,Nopany Institute of Professional Studies - NIPS - Courses,West Bengal,Kolkata,https://targetstudy.com/university/372/west-bengal-university-of-technology/,"3, Pretoria Street, Kolkata, West Bengal 700041, India","['(033) 22827058, 22827059 / ', ' 9830329882, 9830031872']"
70,NPC College of Science and Management - Courses,West Bengal,Kolkata,,"Bakhrahat Road, Thakurpukur Gate No. 1, Kolkata, West Bengal 700104, India","['(033) 24980517, 24980516, 24980478, 24980477, 32446746']"
71,NSHM College of Management and Technology - Courses,West Bengal,Kolkata,http://www.nshm.com/,"124, B.L. Saha Road, Kolkata, West Bengal 700053, India","['(033) 24032300, 24032301']"
72,Pailan College of Management and Technology - Courses,West Bengal,Kolkata,http://www.pcmt-india.net,"Bengal Pailan Park Plot B, 187-206, Phase 3, Joka, Kolkata, West Bengal 700104, India","['(033) 24535605 / ', ' 9830800310, 8240585548']"
73,Pailan School of International Studies - PSIS - Courses,West Bengal,Kolkata,https://targetstudy.com/university/372/west-bengal-university-of-technology/,"Plot #B-149-156, Phase 2, Bengal Pailan Park (Near IIM Joka) Off D.H. Road, Kolkata, West Bengal 700104, India","['(033) 24978266 / ', ' 9830769800']"
74,Prajnanananda Institute of Technology and Management - PITM - Courses,West Bengal,Kolkata,https://pitmkol.org/,"94/2, Park Street, Near Park Circus 7 Point, Kolkata, West Bengal 700017, India","[' 9830304496, 9830304566, 8420583460']"
75,Ramakrishna Mission Shilpamandira Computer Centre - Courses,West Bengal,Kolkata,http://www.rkmscc.org/home.html,"313, G.T. Road, Belur Math, Kolkata, West Bengal 711202, India","['(033) 2654913, 2654914, 26547739']"
