,index,Unnamed: 0,College_Name,State,City,URL_,Address,Phone_Number
20,857,857,"Bunt's Sangha's S.M. Shetty College of Science, Commerce and Management Studies - Courses",Maharashtra,Mumbai,http://smshettycollege.edu.in/,"Hiranandani Gardens, Powai, Mumbai, Maharashtra 400076, India","['(022) 61327352, 61327356, 61327363']"
21,858,858,Bunts Sangha Mumbai's Anna Leela College of Commerce and Economics & Shobha Jayaram Shetty College - Courses,Maharashtra,Mumbai,http://alsj.bunts.edu.in/,"Shashi Manmohan Shetty Higher Education Complex, Opposite Buntara Bhavana, Buntara Marg, Kurla (E), Mumbai, Maharashtra 400070, India","['(022) 24059000, 24059099, 24057249']"
22,917,917,C.M.S. Computer Institute,Maharashtra,Mumbai,,"CMS Info Systems Private Ltd., 11th Floor, Silver Metropolis, Off Western Express Highway, Opposite SRPF Grounds, Goregaon (East), Mumbai, Maharashtra 400063, India","['(022) 67553100, 67553104']"
23,972,972,Centre for Development of Advanced Computing - C-DAC Mumbai - Courses,Maharashtra,Mumbai,https://cdac.in/index.aspx?id=mumbai,"Gulmohar Cross Road No. 9, Juhu, Mumbai, Maharashtra 400049, India","['(022) 26201606, 26201574']"
24,1008,1008,"Chandrabhan Sharma College of Arts, Science and Commerce - Courses",Maharashtra,Mumbai,https://targetstudy.com/university/194/university-of-mumbai/,"Powai Vihar, Powai, Mumbai, Maharashtra 400076, India",[' 7738776505']
25,1028,1028,Chetana's H.S. College of Commerce and Smt. Kusumtai Chaudhari College of Arts - Courses,Maharashtra,Mumbai,https://targetstudy.com/university/194/university-of-mumbai/,"Survey No. 341, Chetana Mahavidyalaya Marg, Bandra East, Mumbai, Maharashtra 400055, India","['(022) 62157898 / ', ' 7208698343, 9167156186, 9869247175']"
26,1140,1140,Compufield Institute,Maharashtra,Mumbai,http://compufield.com/,"Head Office:- Chinoy Mansion, First Floor, Block #2, Opposite St. Stephen's Church, Warden Road, Mumbai, Maharashtra 400036, India","['(022) 23676218, 23671772 / ', ' 9820134058']"
27,1141,1141,Compufield Institute (Bandra) - Courses,Maharashtra,Mumbai,http://compufield.com/,"O Priya Building, Dr. Peter Dias Road, Near Mehboob Studio, First Floor, Block 6, Take Left From Kalpana Palace, 2nd Building on Left
, Mumbai, Maharashtra 400050, India","['(022) 26551794 / ', ' 9819006132']"
28,1145,1145,Computrain Centre - Courses,Maharashtra,Mumbai,,"Sarojini Naidu Road, Mulund West, Mumbai, Maharashtra 400080, India","['(022) 25647835, 25913002']"
29,1146,1146,Concourse Software Training Institute - Courses,Maharashtra,Mumbai,,"#313, 3rd Floor B-Wing Vardhaman Chambers, Sector 17, Vashi, Mumbai, Maharashtra 400703, India","['(022) 27655533 / ', ' 9892176766']"
30,1183,1183,"D.G. Ruparel College of Arts, Science and Commerce - Courses",Maharashtra,Mumbai,http://www.ruparel.edu/,"Senapati Bapat Marg, Mahim, Mumbai, Maharashtra 400016, India","['(022) 24303733, 24303081, 24361139']"
31,1191,1191,Dadar College of Management - Courses,Maharashtra,Mumbai,,"Dr. Antonio de Silva, New Building, Near Kabutar Khana, S.K. Bole Road Dadar (W), Mumbai, Maharashtra 400028, India","['(022) 24216783, 65911792']"
