,Unnamed: 0,College_Name,State,City,URL_,Address,Phone_Number
5625,5625,St. Joseph's College of Engineering - Courses,Tamil Nadu,Chennai,http://www.stjosephs.ac.in,"Old Mamallapuram Road, Semmencherry, Chennai, Tamil Nadu 600119, India","['(044) 24501060, 24501449 / ', ' 9940104881, 9940104882']"
5626,5626,St. Joseph's College of Engineering and Technology - SJCET - Courses,Kerala,Kottayam,https://targetstudy.com/university/165/mahatma-gandhi-university-kerala/,"P.O. Choondacherry, Palai, Kottayam, Kerala 686579, India","['(04822) 239700, 239301, 239302 / ', ' 944782040']"
5627,5627,St. Joseph's Degree and P.G. College,Telangana,Hyderabad,https://targetstudy.com/university/10/osmania-university/,"#5-9-1106, King Koti, Main Road, Basheerbagh
, Hyderabad, Telangana 500029, India","['(040) 23234860, 23231769 / ', ' 9348288666, 9652181320']"
5628,5628,St. Joseph's Evening College (Autonomous) - Courses,Karnataka,Bangalore,http://www.sjec.edu.in/,"P.B. 25003, No. 35, Museum Road, Bangalore, Karnataka 560025, India","['(080) 22211911, 22291669 / ', ' 7204770433']"
5629,5629,St. Joseph's Institute of Technology - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/264/anna-university-chennai/,"Old Mamallapuram Road, Semmancheri, Chennai, Tamil Nadu 600119, India",['(044) 24503132']
5630,5630,St. Jude's College - Courses,Tamil Nadu,Kanyakumari,https://targetstudy.com/university/279/manonmaniam-sundaranar-university/,"Thoothoor, Kanyakumari, Tamil Nadu 629176, India","['(04651) 240715, 243215']"
5631,5631,St. Kabir Institute of Information Technology and Management - Courses,Punjab,Moga,https://targetstudy.com/university/238/punjab-technical-university/,"Moga - Ludhiana G.T. Road, Opposite Jagat Sewak Khalsa College, Puranewala Road, Moga, Punjab 142001, India","[' 9780213346, 9988540001']"
5632,5632,St. Louis College for the Deaf - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/301/university-of-madras/,"Canal Bank Road, Gandhi Nagar, Adyar, Chennai, Tamil Nadu 600020, India","['(044) 24421315 / ', ' 9025421313']"
5633,5633,St. Martin's Engineering College - SMEC - Courses,Telangana,Secunderabad,https://targetstudy.com/university/31/jawaharlal-nehru-technological-university/,"Sy. No.98 & 100, Dhulapally Road, Dhulapally, Near Kompally, Medchal - Malkajgiri, Secunderabad, Telangana 500100, India","[' 7997267788, 9705833339, 9703737641, 8499849706']"
5634,5634,St. Martin's P.G. College of Technology - Courses,Telangana,Hyderabad,https://targetstudy.com/university/10/osmania-university/,"563, Gundla Pochampally, Via- Hakimpet, Medchal, Hyderabad, Telangana 500014, India",['(040) 64584113']
5635,5635,St. Mary's College - Courses,Kerala,Thrissur,https://www.stmaryscollegethrissur.edu.in/,"College Road, Thrissur, Kerala 680020, India","['(0487) 2333485, 2334785']"
5636,5636,St. Mary's College for Women - Courses,Kerala,Pathanamthitta,http://www.stmaryscw.com/,"Paliakara, Thiruvalla, Pathanamthitta, Kerala 689101, India","['(0469) 2607029, 2606560 (Principal) / ', ' 8078070932']"
5637,5637,St. Mary's College of Commerce and Management Studies - Courses,Kerala,Ernakulam,http://stmaryscollegethuruthiply.com/,"Thuruthiply, Valayanchirangara P.O., Perumbavoor, Ernakulam, Kerala 683544, India","['(0484) 2593465, 2593415 / ', ' 9072305103, 9447141988']"
5638,5638,St. Mary's Engineering College - Courses,Telangana,Nalgonda,https://targetstudy.com/university/31/jawaharlal-nehru-technological-university/,"Deshmukhi Village, Pochampally, Yadadri - Bhuvanagiri, Nalgonda, Telangana 508284, India",[' 8498093080']
5639,5639,St. Mary's Technical Campus - Courses,West Bengal,Kolkata,,"Saibona Village, Opposite West Bengal State University, Ichapur Nilgunge Gram Panchayat, Barasat, North 24 Parganas, Kolkata, West Bengal 700126, India","['(033) 25250530 / ', ' 8420247078, 8420247079, 8420199260']"
5640,5640,St. Meera Institute of Management and Technology - Courses,Gujarat,Ahmedabad,,"409, Akshar Complex, Near Shivranjani Char Rasta, Ahmedabad, Gujarat 380015, India",['(079) 65242450']
5641,5641,St. Mira's College for Girls - Courses,Maharashtra,Pune,https://targetstudy.com/university/195/university-of-pune/,"6, Koregaon Park Road, Pune, Maharashtra 411001, India",['(020) 26124846']
5642,5642,St. Peter's College - Courses,West Bengal,Kolkata,,"6/1, Sarat Chatterjee Avenue, Kolkata, West Bengal 700029, India",['(033) 24663289']
5643,5643,St. Peter's College of Engineering and Technology - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/264/anna-university-chennai/,"College Road, Avadi, Chennai, Tamil Nadu 600054, India","[' 9791043355, 7358110157, 7358110158, 73581']"
5644,5644,St. Peter's Engineering College - Courses,Telangana,Hyderabad,https://targetstudy.com/university/31/jawaharlal-nehru-technological-university/,"Opposite Forest Academy, Kompally Road, Dullapally, Maisammaguda, Medchal, Hyderabad, Telangana 500043, India","[' 9959222269, 9032008578, 9000008578']"
5645,5645,St. Peter's Institute of Higher Education and Research,Universities in Tamil Nadu,,https://spiher.ac.in/,"Avadi, Chennai, Tamil Nadu 600054, India","['(044) 26555448, 26553720, 26553746 / ', ' 9445638085']"
5646,5646,St. Philomena College - Courses,Karnataka,Puttur,https://targetstudy.com/university/142/mangalore-university/,"Philonagar, Post Box Number - 203, Darbe, Puttur, Karnataka 574202, India","['(08251) 230340 / ', ' 9449639648 - Principal']"
5647,5647,St. Philomena's College (Autonomous) - Courses,Karnataka,Mysore,https://www.stphilos.ac.in/,"Mysore Bangalore Road, Bannimantap, Mysore, Karnataka 570015, India","['(0821) 4240900, 4240912, 4240918']"
